
"Year","Sex","Educational level","Employed total, 1000 persons"
"2011","Total","7-8 Master's or equivalent level or doctoral or equivalent level",311
"2011","Total","9, X Basic education or level of education unknown",391
"2011","Males","Total",1261
"2011","Males","3-4 Upper secondary education or post-secondary non-tertiary education",617
"2011","Males","5 Short-cycle tertiary education",124
"2011","Males","5-8 Tertiary education",406
"2011","Males","6 Bachelor's or equivalent level",136
"2011","Males","7-8 Master's or equivalent level or doctoral or equivalent level",146
"2011","Males","9, X Basic education or level of education unknown",237
"2011","Females","Total",1176
"2011","Females","3-4 Upper secondary education or post-secondary non-tertiary education",496
"2011","Females","5 Short-cycle tertiary education",204
"2011","Females","5-8 Tertiary education",527
"2011","Females","6 Bachelor's or equivalent level",158
"2011","Females","7-8 Master's or equivalent level or doctoral or equivalent level",165
"2011","Females","9, X Basic education or level of education unknown",153
"2012","Total","Total",2450
"2012","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1140
"2012","Total","5 Short-cycle tertiary education",302
"2012","Total","5-8 Tertiary education",932
"2012","Total","6 Bachelor's or equivalent level",310
"2012","Total","7-8 Master's or equivalent level or doctoral or equivalent level",320
"2012","Total","9, X Basic education or level of education unknown",378
"2012","Males","Total",1263
"2012","Males","3-4 Upper secondary education or post-secondary non-tertiary education",630
"2012","Males","5 Short-cycle tertiary education",113
"2012","Males","5-8 Tertiary education",403
"2012","Males","6 Bachelor's or equivalent level",144
"2012","Males","7-8 Master's or equivalent level or doctoral or equivalent level",146
"2012","Males","9, X Basic education or level of education unknown",230
"2012","Females","Total",1188
"2012","Females","3-4 Upper secondary education or post-secondary non-tertiary education",510
"2012","Females","5 Short-cycle tertiary education",189
"2012","Females","5-8 Tertiary education",529
"2012","Females","6 Bachelor's or equivalent level",166
"2012","Females","7-8 Master's or equivalent level or doctoral or equivalent level",174
"2012","Females","9, X Basic education or level of education unknown",148
"2013","Total","Total",2426
"2013","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1124
"2013","Total","5 Short-cycle tertiary education",286
"2013","Total","5-8 Tertiary education",950
"2013","Total","6 Bachelor's or equivalent level",326
"2013","Total","7-8 Master's or equivalent level or doctoral or equivalent level",337
"2013","Total","9, X Basic education or level of education unknown",352
"2013","Males","Total",1247
"2013","Males","3-4 Upper secondary education or post-secondary non-tertiary education",622
"2013","Males","5 Short-cycle tertiary education",106
"2013","Males","5-8 Tertiary education",411
"2013","Males","6 Bachelor's or equivalent level",150
"2013","Males","7-8 Master's or equivalent level or doctoral or equivalent level",155
"2013","Males","9, X Basic education or level of education unknown",214
"2013","Females","Total",1180
"2013","Females","3-4 Upper secondary education or post-secondary non-tertiary education",502
"2013","Females","5 Short-cycle tertiary education",180
"2013","Females","5-8 Tertiary education",539
"2013","Females","6 Bachelor's or equivalent level",177
"2013","Females","7-8 Master's or equivalent level or doctoral or equivalent level",183
"2013","Females","9, X Basic education or level of education unknown",138
"2014","Total","Total",2419
"2014","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1117
"2014","Total","5 Short-cycle tertiary education",276
"2014","Total","5-8 Tertiary education",962
"2014","Total","6 Bachelor's or equivalent level",336
"2014","Total","7-8 Master's or equivalent level or doctoral or equivalent level",350
"2014","Total","9, X Basic education or level of education unknown",340
"2014","Males","Total",1240
"2014","Males","3-4 Upper secondary education or post-secondary non-tertiary education",610
"2014","Males","5 Short-cycle tertiary education",105
"2014","Males","5-8 Tertiary education",417
"2014","Males","6 Bachelor's or equivalent level",151
"2014","Males","7-8 Master's or equivalent level or doctoral or equivalent level",161
"2014","Males","9, X Basic education or level of education unknown",213
"2014","Females","Total",1179
"2014","Females","3-4 Upper secondary education or post-secondary non-tertiary education",507
"2014","Females","5 Short-cycle tertiary education",171
"2014","Females","5-8 Tertiary education",545
"2014","Females","6 Bachelor's or equivalent level",185
"2014","Females","7-8 Master's or equivalent level or doctoral or equivalent level",189
"2014","Females","9, X Basic education or level of education unknown",127
"2015","Total","Total",2402
"2015","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1107
"2015","Total","5 Short-cycle tertiary education",270
"2015","Total","5-8 Tertiary education",959
"2015","Total","6 Bachelor's or equivalent level",343
"2015","Total","7-8 Master's or equivalent level or doctoral or equivalent level",346
"2015","Total","9, X Basic education or level of education unknown",336
"2015","Males","Total",1231
"2015","Males","3-4 Upper secondary education or post-secondary non-tertiary education",608
"2015","Males","5 Short-cycle tertiary education",102
"2015","Males","5-8 Tertiary education",412
"2015","Males","6 Bachelor's or equivalent level",153
"2015","Males","7-8 Master's or equivalent level or doctoral or equivalent level",157
"2015","Males","9, X Basic education or level of education unknown",210
"2015","Females","Total",1171
"2015","Females","3-4 Upper secondary education or post-secondary non-tertiary education",498
"2015","Females","5 Short-cycle tertiary education",169
"2015","Females","5-8 Tertiary education",547
"2015","Females","6 Bachelor's or equivalent level",189
"2015","Females","7-8 Master's or equivalent level or doctoral or equivalent level",189
"2015","Females","9, X Basic education or level of education unknown",126
"2016","Total","Total",2417
"2016","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1112
"2016","Total","5 Short-cycle tertiary education",258
"2016","Total","5-8 Tertiary education",965
"2016","Total","6 Bachelor's or equivalent level",361
"2016","Total","7-8 Master's or equivalent level or doctoral or equivalent level",345
"2016","Total","9, X Basic education or level of education unknown",340
"2016","Males","Total",1249
"2016","Males","3-4 Upper secondary education or post-secondary non-tertiary education",621
"2016","Males","5 Short-cycle tertiary education",98
"2016","Males","5-8 Tertiary education",415
"2016","Males","6 Bachelor's or equivalent level",161
"2016","Males","7-8 Master's or equivalent level or doctoral or equivalent level",157
"2016","Males","9, X Basic education or level of education unknown",213
"2016","Females","Total",1168
"2016","Females","3-4 Upper secondary education or post-secondary non-tertiary education",491
"2016","Females","5 Short-cycle tertiary education",161
"2016","Females","5-8 Tertiary education",550
"2016","Females","6 Bachelor's or equivalent level",201
"2016","Females","7-8 Master's or equivalent level or doctoral or equivalent level",188
"2016","Females","9, X Basic education or level of education unknown",126
"2017","Total","Total",2441
"2017","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1118
"2017","Total","5 Short-cycle tertiary education",249
"2017","Total","5-8 Tertiary education",985
"2017","Total","6 Bachelor's or equivalent level",375
"2017","Total","7-8 Master's or equivalent level or doctoral or equivalent level",360
"2017","Total","9, X Basic education or level of education unknown",338
"2017","Males","Total",1267
"2017","Males","3-4 Upper secondary education or post-secondary non-tertiary education",630
"2017","Males","5 Short-cycle tertiary education",94
"2017","Males","5-8 Tertiary education",421
"2017","Males","6 Bachelor's or equivalent level",167
"2017","Males","7-8 Master's or equivalent level or doctoral or equivalent level",159
"2017","Males","9, X Basic education or level of education unknown",216
"2017","Females","Total",1174
"2017","Females","3-4 Upper secondary education or post-secondary non-tertiary education",488
"2017","Females","5 Short-cycle tertiary education",155
"2017","Females","5-8 Tertiary education",563
"2017","Females","6 Bachelor's or equivalent level",208
"2017","Females","7-8 Master's or equivalent level or doctoral or equivalent level",201
"2017","Females","9, X Basic education or level of education unknown",122
"2018","Total","Total",2507
"2018","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1150
"2018","Total","5 Short-cycle tertiary education",245
"2018","Total","5-8 Tertiary education",1023
"2018","Total","6 Bachelor's or equivalent level",395
"2018","Total","7-8 Master's or equivalent level or doctoral or equivalent level",383
"2018","Total","9, X Basic education or level of education unknown",334
"2018","Males","Total",1300
"2018","Males","3-4 Upper secondary education or post-secondary non-tertiary education",653
"2018","Males","5 Short-cycle tertiary education",89
"2018","Males","5-8 Tertiary education",435
"2018","Males","6 Bachelor's or equivalent level",172
"2018","Males","7-8 Master's or equivalent level or doctoral or equivalent level",174
"2018","Males","9, X Basic education or level of education unknown",212
"2018","Females","Total",1207
"2018","Females","3-4 Upper secondary education or post-secondary non-tertiary education",497
"2018","Females","5 Short-cycle tertiary education",156
"2018","Females","5-8 Tertiary education",588
"2018","Females","6 Bachelor's or equivalent level",223
"2018","Females","7-8 Master's or equivalent level or doctoral or equivalent level",209
"2018","Females","9, X Basic education or level of education unknown",122
"2019","Total","Total",2533
"2019","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1174
"2019","Total","5 Short-cycle tertiary education",226
"2019","Total","5-8 Tertiary education",1042
"2019","Total","6 Bachelor's or equivalent level",413
"2019","Total","7-8 Master's or equivalent level or doctoral or equivalent level",403
"2019","Total","9, X Basic education or level of education unknown",317
"2019","Males","Total",1313
"2019","Males","3-4 Upper secondary education or post-secondary non-tertiary education",667
"2019","Males","5 Short-cycle tertiary education",84
"2019","Males","5-8 Tertiary education",450
"2019","Males","6 Bachelor's or equivalent level",188
"2019","Males","7-8 Master's or equivalent level or doctoral or equivalent level",178
"2019","Males","9, X Basic education or level of education unknown",197
"2019","Females","Total",1219
"2019","Females","3-4 Upper secondary education or post-secondary non-tertiary education",507
"2019","Females","5 Short-cycle tertiary education",143
"2019","Females","5-8 Tertiary education",593
"2019","Females","6 Bachelor's or equivalent level",225
"2019","Females","7-8 Master's or equivalent level or doctoral or equivalent level",225
"2019","Females","9, X Basic education or level of education unknown",119
"2020","Total","Total",2495
"2020","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1141
"2020","Total","5 Short-cycle tertiary education",209
"2020","Total","5-8 Tertiary education",1064
"2020","Total","6 Bachelor's or equivalent level",430
"2020","Total","7-8 Master's or equivalent level or doctoral or equivalent level",425
"2020","Total","9, X Basic education or level of education unknown",290
"2020","Males","Total",1299
"2020","Males","3-4 Upper secondary education or post-secondary non-tertiary education",661
"2020","Males","5 Short-cycle tertiary education",77
"2020","Males","5-8 Tertiary education",456
"2020","Males","6 Bachelor's or equivalent level",194
"2020","Males","7-8 Master's or equivalent level or doctoral or equivalent level",185
"2020","Males","9, X Basic education or level of education unknown",182
"2020","Females","Total",1195
"2020","Females","3-4 Upper secondary education or post-secondary non-tertiary education",479
"2020","Females","5 Short-cycle tertiary education",132
"2020","Females","5-8 Tertiary education",608
"2020","Females","6 Bachelor's or equivalent level",236
"2020","Females","7-8 Master's or equivalent level or doctoral or equivalent level",240
"2020","Females","9, X Basic education or level of education unknown",108
"2021","Total","Total",2555
"2021","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1195
"2021","Total","5 Short-cycle tertiary education",196
"2021","Total","5-8 Tertiary education",1083
"2021","Total","6 Bachelor's or equivalent level",445
"2021","Total","7-8 Master's or equivalent level or doctoral or equivalent level",441
"2021","Total","9, X Basic education or level of education unknown",276
"2021","Males","Total",1326
"2021","Males","3-4 Upper secondary education or post-secondary non-tertiary education",690
"2021","Males","5 Short-cycle tertiary education",74
"2021","Males","5-8 Tertiary education",466
"2021","Males","6 Bachelor's or equivalent level",199
"2021","Males","7-8 Master's or equivalent level or doctoral or equivalent level",192
"2021","Males","9, X Basic education or level of education unknown",171
"2021","Females","Total",1228
"2021","Females","3-4 Upper secondary education or post-secondary non-tertiary education",506
"2021","Females","5 Short-cycle tertiary education",122
"2021","Females","5-8 Tertiary education",617
"2021","Females","6 Bachelor's or equivalent level",246
"2021","Females","7-8 Master's or equivalent level or doctoral or equivalent level",249
"2021","Females","9, X Basic education or level of education unknown",106
"2022","Total","Total",2619
"2022","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1222
"2022","Total","5 Short-cycle tertiary education",189
"2022","Total","5-8 Tertiary education",1110
"2022","Total","6 Bachelor's or equivalent level",463
"2022","Total","7-8 Master's or equivalent level or doctoral or equivalent level",457
"2022","Total","9, X Basic education or level of education unknown",288
"2022","Males","Total",1345
"2022","Males","3-4 Upper secondary education or post-secondary non-tertiary education",686
"2022","Males","5 Short-cycle tertiary education",72
"2022","Males","5-8 Tertiary education",479
"2022","Males","6 Bachelor's or equivalent level",206
"2022","Males","7-8 Master's or equivalent level or doctoral or equivalent level",201
"2022","Males","9, X Basic education or level of education unknown",180
"2022","Females","Total",1274
"2022","Females","3-4 Upper secondary education or post-secondary non-tertiary education",536
"2022","Females","5 Short-cycle tertiary education",117
"2022","Females","5-8 Tertiary education",631
"2022","Females","6 Bachelor's or equivalent level",258
"2022","Females","7-8 Master's or equivalent level or doctoral or equivalent level",256
"2022","Females","9, X Basic education or level of education unknown",108
"2023","Total","Total",2628
"2023","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1219
"2023","Total","5 Short-cycle tertiary education",180
"2023","Total","5-8 Tertiary education",1115
"2023","Total","6 Bachelor's or equivalent level",468
"2023","Total","7-8 Master's or equivalent level or doctoral or equivalent level",468
"2023","Total","9, X Basic education or level of education unknown",294
"2023","Males","Total",1340
"2023","Males","3-4 Upper secondary education or post-secondary non-tertiary education",684
"2023","Males","5 Short-cycle tertiary education",66
"2023","Males","5-8 Tertiary education",475
"2023","Males","6 Bachelor's or equivalent level",208
"2023","Males","7-8 Master's or equivalent level or doctoral or equivalent level",201
"2023","Males","9, X Basic education or level of education unknown",181
"2023","Females","Total",1288
"2023","Females","3-4 Upper secondary education or post-secondary non-tertiary education",535
"2023","Females","5 Short-cycle tertiary education",113
"2023","Females","5-8 Tertiary education",640
"2023","Females","6 Bachelor's or equivalent level",260
"2023","Females","7-8 Master's or equivalent level or doctoral or equivalent level",267
"2023","Females","9, X Basic education or level of education unknown",113
"2024","Total","Total",2602
"2024","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1209
"2024","Total","5 Short-cycle tertiary education",174
"2024","Total","5-8 Tertiary education",1124
"2024","Total","6 Bachelor's or equivalent level",468
"2024","Total","7-8 Master's or equivalent level or doctoral or equivalent level",482
"2024","Total","9, X Basic education or level of education unknown",270
"2024","Males","Total",1335
"2024","Males","3-4 Upper secondary education or post-secondary non-tertiary education",683
"2024","Males","5 Short-cycle tertiary education",68
"2024","Males","5-8 Tertiary education",482
"2024","Males","6 Bachelor's or equivalent level",204
"2024","Males","7-8 Master's or equivalent level or doctoral or equivalent level",210
"2024","Males","9, X Basic education or level of education unknown",170
"2024","Females","Total",1267
"2024","Females","3-4 Upper secondary education or post-secondary non-tertiary education",526
"2024","Females","5 Short-cycle tertiary education",107
"2024","Females","5-8 Tertiary education",642
"2024","Females","6 Bachelor's or equivalent level",264
"2024","Females","7-8 Master's or equivalent level or doctoral or equivalent level",272
"2024","Females","9, X Basic education or level of education unknown",99
